2024-12-23T23:10:28+00:00
Running /Users/akhileshmishra/CLionProjects/AkhilProject/build/release/service/tester
Run on (16 X 2300 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB
  L1 Instruction 32 KiB
  L2 Unified 256 KiB (x8)
  L3 Unified 16384 KiB
Load Average: 6.53, 3.19, 2.45
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"testSpace::Test::testInplaceSPSCQueue/1/repeats:10",8727,105053,86911.4,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/1/repeats:10",8727,103199,85352.7,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/1/repeats:10",8727,102846,85025.3,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/1/repeats:10",8727,108717,89207.9,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/1/repeats:10",8727,104567,86247.7,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/1/repeats:10",8727,103536,85688.2,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/1/repeats:10",8727,100544,83531.8,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/1/repeats:10",8727,110544,90844.8,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/1/repeats:10",8727,101498,84210.3,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/1/repeats:10",8727,108054,88993.8,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/1/repeats:10_mean",10,104856,86601.4,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/1/repeats:10_median",10,104051,85968,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/1/repeats:10_stddev",10,3266.09,2374.93,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/1/repeats:10_cv",10,0.0311484,0.0274237,,,,,,
"testSpace::Test::testInplaceSPSCQueue/2/repeats:10",8228,108715,89125.9,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/2/repeats:10",8228,112788,91992.6,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/2/repeats:10",8228,110010,90168.6,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/2/repeats:10",8228,120000,97367.3,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/2/repeats:10",8228,110033,90086.4,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/2/repeats:10",8228,114497,93561.5,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/2/repeats:10",8228,109065,89027,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/2/repeats:10",8228,101258,83665.4,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/2/repeats:10",8228,109883,89948.6,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/2/repeats:10",8228,101940,84011.7,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/2/repeats:10_mean",10,109819,89895.5,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/2/repeats:10_median",10,109947,90017.5,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/2/repeats:10_stddev",10,5493.42,4062.82,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/2/repeats:10_cv",10,0.0500226,0.045195,,,,,,
"testSpace::Test::testInplaceSPSCQueue/4/repeats:10",8318,101278,83536.8,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/4/repeats:10",8318,101182,83449.9,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/4/repeats:10",8318,101568,83592.1,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/4/repeats:10",8318,101880,83937.4,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/4/repeats:10",8318,100799,83350.3,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/4/repeats:10",8318,101145,83746.6,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/4/repeats:10",8318,105000,86371.5,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/4/repeats:10",8318,101270,83518.5,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/4/repeats:10",8318,107444,88113,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/4/repeats:10",8318,112687,91513.1,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/4/repeats:10_mean",10,103425,85112.9,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/4/repeats:10_median",10,101423,83669.3,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/4/repeats:10_stddev",10,3896.29,2748.89,ns,,,,,
"testSpace::Test::testInplaceSPSCQueue/4/repeats:10_cv",10,0.0376725,0.0322969,,,,,,
