2025-01-27T23:08:23+00:00
Running /Users/akhileshmishra/CLionProjects/AkhilProject/cmake-build-relwithdebinfo/service/tester
Run on (16 X 2300 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB
  L1 Instruction 32 KiB
  L2 Unified 256 KiB (x8)
  L3 Unified 16384 KiB
Load Average: 2.65, 2.47, 2.32
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"testSpace::Test::testInplaceMPMCCQueue/1/repeats:10",19028,37155.5,32740.7,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/1/repeats:10",19028,34696,30857.1,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/1/repeats:10",19028,35163.1,31262,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/1/repeats:10",19028,34654.3,30771.4,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/1/repeats:10",19028,34986.8,31081,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/1/repeats:10",19028,34755.5,30841.2,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/1/repeats:10",19028,34445.6,30587.2,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/1/repeats:10",19028,34261.4,30382.1,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/1/repeats:10",19028,34427.7,30602.1,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/1/repeats:10",19028,34469.9,30631,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/1/repeats:10_mean",10,34901.6,30975.6,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/1/repeats:10_median",10,34675.1,30806.3,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/1/repeats:10_stddev",10,837.282,670.312,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/1/repeats:10_cv",10,0.0239898,0.02164,,,,,,
"testSpace::Test::testInplaceMPMCCQueue/2/repeats:10",22355,33017.9,29404,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/2/repeats:10",22355,33678.8,29821.6,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/2/repeats:10",22355,32643.4,28904.8,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/2/repeats:10",22355,32962.2,29230.3,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/2/repeats:10",22355,33246.7,29563.2,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/2/repeats:10",22355,33664.8,29767.6,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/2/repeats:10",22355,33019.8,29335.2,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/2/repeats:10",22355,32768.8,29237.3,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/2/repeats:10",22355,33201.1,29516.4,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/2/repeats:10",22355,32950.1,29191.9,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/2/repeats:10_mean",10,33115.4,29397.2,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/2/repeats:10_median",10,33018.8,29369.6,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/2/repeats:10_stddev",10,342.59,279.085,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/2/repeats:10_cv",10,0.0103454,0.00949358,,,,,,
"testSpace::Test::testInplaceMPMCCQueue/4/repeats:10",22603,33470.9,29611.2,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/4/repeats:10",22603,34269,30261.8,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/4/repeats:10",22603,33038.5,29166.2,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/4/repeats:10",22603,32900.6,28950.8,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/4/repeats:10",22603,32985.2,29138.6,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/4/repeats:10",22603,33046.2,29267.2,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/4/repeats:10",22603,33163,29313.2,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/4/repeats:10",22603,33060.6,29002.5,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/4/repeats:10",22603,33431.8,29447,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/4/repeats:10",22603,33852.8,29708.8,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/4/repeats:10_mean",10,33321.9,29386.7,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/4/repeats:10_median",10,33111.8,29290.2,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/4/repeats:10_stddev",10,441.439,393.151,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/4/repeats:10_cv",10,0.0132477,0.0133785,,,,,,
"testSpace::Test::testInplaceMPMCCQueue/8/repeats:10",22785,33330.1,28921.2,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/8/repeats:10",22785,33924.6,29272.5,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/8/repeats:10",22785,33264.3,28689,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/8/repeats:10",22785,32741.2,28380.1,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/8/repeats:10",22785,33018.8,28591.2,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/8/repeats:10",22785,32790.6,28306.7,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/8/repeats:10",22785,32969.7,28458.8,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/8/repeats:10",22785,32733.5,28293.4,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/8/repeats:10",22785,33352.9,28779,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/8/repeats:10",22785,33017.1,28483.9,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/8/repeats:10_mean",10,33114.3,28617.6,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/8/repeats:10_median",10,33018,28537.5,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/8/repeats:10_stddev",10,366.838,308.074,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/8/repeats:10_cv",10,0.0110779,0.0107652,,,,,,
"testSpace::Test::testInplaceMPMCCQueue/16/repeats:10",22215,33828.9,28831.8,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/16/repeats:10",22215,35013.6,29714.1,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/16/repeats:10",22215,33751.7,28812.2,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/16/repeats:10",22215,34747.8,29565.2,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/16/repeats:10",22215,34160.5,29113.4,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/16/repeats:10",22215,34065.8,29051.5,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/16/repeats:10",22215,33958,28964.8,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/16/repeats:10",22215,34191.3,29076.1,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/16/repeats:10",22215,33935.6,28919.2,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/16/repeats:10",22215,34308.2,29316.3,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/16/repeats:10_mean",10,34196.1,29136.4,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/16/repeats:10_median",10,34113.1,29063.8,ns,,,,,
"testSpace::Test::testInplaceMPMCCQueue/16/repeats:10_stddev",10,402.828,304.75,ns,,,,,
